,Baseline,Baseline,Baseline,Baseline,0-Shot | Notes,0-Shot | Notes,0-Shot | Notes,0-Shot | Notes,0-Shot | Summary,0-Shot | Summary,0-Shot | Summary,0-Shot | Summary,5-Shot | Summary,5-Shot | Summary,5-Shot | Summary,5-Shot | Summary,10-Shot | Summary,10-Shot | Summary,10-Shot | Summary,10-Shot | Summary,20-Shot | Summary,20-Shot | Summary,20-Shot | Summary,20-Shot | Summary,50-Shot | Summary,50-Shot | Summary,50-Shot | Summary,50-Shot | Summary,0-Shot CoT | Notes,0-Shot CoT | Notes,0-Shot CoT | Notes,0-Shot CoT | Notes,0-Shot CoT | Summary,0-Shot CoT | Summary,0-Shot CoT | Summary,0-Shot CoT | Summary,5-Shot CoT | Summary,5-Shot CoT | Summary,5-Shot CoT | Summary,5-Shot CoT | Summary,10-Shot CoT | Summary,10-Shot CoT | Summary,10-Shot CoT | Summary,10-Shot CoT | Summary,20-Shot CoT | Summary,20-Shot CoT | Summary,20-Shot CoT | Summary,20-Shot CoT | Summary,50-Shot CoT | Summary,50-Shot CoT | Summary,50-Shot CoT | Summary,50-Shot CoT | Summary
,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short
Aggregate/MCC/MCC,"0.00 (-0.03, 0.03)",--,--,--,"0.27 (0.23, 0.30)","0.29 (0.23, 0.36)","0.25 (0.19, 0.32)","0.24 (0.18, 0.31)","0.25 (0.21, 0.29)","0.31 (0.25, 0.37)","0.22 (0.16, 0.29)","0.22 (0.16, 0.28)","0.26 (0.23, 0.30)","0.31 (0.25, 0.38)","0.24 (0.17, 0.31)","0.22 (0.15, 0.29)","0.27 (0.23, 0.31)","0.28 (0.21, 0.34)","0.26 (0.20, 0.33)","0.24 (0.17, 0.30)","0.30 (0.26, 0.33)","0.31 (0.24, 0.38)","0.29 (0.22, 0.35)","0.26 (0.19, 0.33)","0.28 (0.24, 0.32)","0.33 (0.26, 0.40)","0.24 (0.17, 0.31)","0.25 (0.19, 0.32)","0.32 (0.28, 0.36)","0.30 (0.23, 0.37)","0.33 (0.26, 0.40)","0.31 (0.25, 0.38)","0.31 (0.27, 0.35)","0.34 (0.27, 0.41)","0.28 (0.22, 0.35)","0.28 (0.21, 0.35)","0.32 (0.28, 0.36)","0.34 (0.27, 0.41)","0.32 (0.25, 0.39)","0.27 (0.21, 0.34)","0.35 (0.31, 0.39)","0.33 (0.26, 0.40)","0.37 (0.30, 0.43)","0.32 (0.25, 0.39)","0.37 (0.33, 0.41)","0.36 (0.29, 0.43)","0.41 (0.35, 0.48)","0.31 (0.24, 0.37)","0.36 (0.32, 0.40)","0.40 (0.33, 0.47)","0.35 (0.29, 0.42)","0.30 (0.23, 0.37)"
Aggregate/Accuracy/Accuracy,"0.17 (0.15, 0.19)",--,--,--,"0.41 (0.38, 0.44)","0.45 (0.40, 0.50)","0.40 (0.35, 0.45)","0.38 (0.33, 0.43)","0.40 (0.37, 0.43)","0.46 (0.41, 0.51)","0.38 (0.32, 0.43)","0.36 (0.31, 0.42)","0.41 (0.38, 0.44)","0.47 (0.41, 0.52)","0.39 (0.34, 0.44)","0.36 (0.31, 0.42)","0.41 (0.38, 0.44)","0.44 (0.38, 0.49)","0.41 (0.35, 0.46)","0.38 (0.33, 0.43)","0.43 (0.40, 0.46)","0.46 (0.41, 0.51)","0.43 (0.38, 0.49)","0.40 (0.34, 0.45)","0.42 (0.39, 0.45)","0.48 (0.43, 0.53)","0.39 (0.34, 0.44)","0.39 (0.34, 0.45)","0.46 (0.43, 0.49)","0.46 (0.41, 0.52)","0.47 (0.41, 0.52)","0.44 (0.39, 0.49)","0.45 (0.42, 0.48)","0.50 (0.44, 0.55)","0.44 (0.38, 0.49)","0.42 (0.36, 0.47)","0.46 (0.43, 0.49)","0.49 (0.43, 0.54)","0.47 (0.42, 0.53)","0.43 (0.37, 0.48)","0.48 (0.45, 0.52)","0.48 (0.42, 0.53)","0.51 (0.45, 0.56)","0.46 (0.41, 0.52)","0.50 (0.47, 0.53)","0.50 (0.45, 0.56)","0.54 (0.49, 0.60)","0.45 (0.40, 0.51)","0.50 (0.46, 0.53)","0.53 (0.48, 0.59)","0.50 (0.44, 0.55)","0.45 (0.40, 0.51)"
Aggregate/F1/Micro,"0.17 (0.15, 0.19)",--,--,--,"0.41 (0.38, 0.44)","0.45 (0.40, 0.50)","0.40 (0.35, 0.45)","0.38 (0.33, 0.43)","0.40 (0.37, 0.43)","0.46 (0.41, 0.51)","0.38 (0.32, 0.43)","0.36 (0.31, 0.42)","0.41 (0.38, 0.44)","0.47 (0.41, 0.52)","0.39 (0.34, 0.44)","0.36 (0.31, 0.42)","0.41 (0.38, 0.44)","0.44 (0.38, 0.49)","0.41 (0.35, 0.46)","0.38 (0.33, 0.43)","0.43 (0.40, 0.46)","0.46 (0.41, 0.51)","0.43 (0.38, 0.49)","0.40 (0.34, 0.45)","0.42 (0.39, 0.45)","0.48 (0.43, 0.53)","0.39 (0.34, 0.44)","0.39 (0.34, 0.45)","0.46 (0.43, 0.49)","0.46 (0.41, 0.52)","0.47 (0.41, 0.52)","0.44 (0.39, 0.49)","0.45 (0.42, 0.48)","0.50 (0.44, 0.55)","0.44 (0.38, 0.49)","0.42 (0.36, 0.47)","0.46 (0.43, 0.49)","0.49 (0.43, 0.54)","0.47 (0.42, 0.53)","0.43 (0.37, 0.48)","0.48 (0.45, 0.52)","0.48 (0.42, 0.53)","0.51 (0.45, 0.56)","0.46 (0.41, 0.52)","0.50 (0.47, 0.53)","0.50 (0.45, 0.56)","0.54 (0.49, 0.60)","0.45 (0.40, 0.51)","0.50 (0.46, 0.53)","0.53 (0.48, 0.59)","0.50 (0.44, 0.55)","0.45 (0.40, 0.51)"
Classwise/F1/1,"0.15 (0.03, 0.20)",--,--,--,"0.33 (0.01, 0.49)","0.47 (0.18, 0.84)","0.33 (0.01, 0.60)","0.25 (0.01, 0.51)","0.37 (0.15, 0.45)","0.27 (0.01, 0.50)","0.31 (0.01, 0.54)","0.24 (0.01, 0.47)","0.39 (0.16, 0.50)","0.41 (0.17, 0.57)","0.34 (0.02, 0.65)","0.27 (0.01, 0.44)","0.46 (0.18, 0.71)","0.37 (0.04, 0.56)","0.35 (0.01, 0.68)","0.26 (0.02, 0.43)","0.50 (0.27, 0.77)","0.48 (0.05, 0.94)","0.37 (0.02, 0.66)","0.31 (0.03, 0.45)","0.50 (0.23, 0.83)","0.47 (0.14, 0.72)","0.35 (0.02, 0.63)","0.30 (0.03, 0.48)","0.47 (0.23, 0.81)","0.45 (0.03, 0.94)","0.39 (0.05, 0.57)","0.29 (0.01, 0.50)","0.39 (0.07, 0.57)","0.47 (0.03, 0.95)","0.34 (0.04, 0.51)","0.28 (0.00, 0.47)","0.49 (0.19, 0.82)","0.48 (0.24, 0.94)","0.40 (0.05, 0.52)","0.27 (0.00, 0.55)","0.51 (0.28, 0.78)","0.55 (0.42, 0.94)","0.41 (0.04, 0.61)","0.32 (0.00, 0.62)","0.54 (0.37, 0.82)","0.55 (0.30, 0.95)","0.48 (0.05, 0.73)","0.30 (0.03, 0.56)","0.58 (0.43, 0.82)","0.52 (0.17, 0.94)","0.42 (0.04, 0.62)","0.32 (0.03, 0.52)"
Classwise/F1/2,"0.16 (0.04, 0.23)",--,--,--,"0.32 (0.01, 0.48)","0.43 (0.16, 0.65)","0.30 (0.01, 0.62)","0.28 (0.01, 0.48)","0.31 (0.02, 0.46)","0.32 (0.01, 0.53)","0.28 (0.02, 0.52)","0.28 (0.02, 0.49)","0.37 (0.19, 0.49)","0.40 (0.19, 0.50)","0.32 (0.02, 0.67)","0.30 (0.02, 0.46)","0.43 (0.22, 0.64)","0.43 (0.04, 0.77)","0.33 (0.00, 0.72)","0.30 (0.03, 0.41)","0.50 (0.29, 0.86)","0.45 (0.05, 0.77)","0.36 (0.03, 0.70)","0.35 (0.03, 0.54)","0.50 (0.29, 0.88)","0.48 (0.20, 0.77)","0.32 (0.03, 0.72)","0.33 (0.03, 0.51)","0.50 (0.24, 0.94)","0.41 (0.04, 0.76)","0.32 (0.02, 0.47)","0.34 (0.03, 0.52)","0.48 (0.16, 0.94)","0.42 (0.03, 0.77)","0.28 (0.00, 0.45)","0.30 (0.02, 0.51)","0.53 (0.28, 0.94)","0.46 (0.18, 0.77)","0.32 (0.01, 0.53)","0.31 (0.01, 0.55)","0.53 (0.31, 0.88)","0.48 (0.31, 0.76)","0.35 (0.03, 0.60)","0.35 (0.02, 0.60)","0.57 (0.36, 0.95)","0.50 (0.32, 0.77)","0.40 (0.04, 0.66)","0.32 (0.01, 0.60)","0.57 (0.44, 0.95)","0.51 (0.34, 0.78)","0.42 (0.05, 0.65)","0.34 (0.04, 0.53)"
Classwise/F1/3,"0.14 (0.06, 0.20)",--,--,--,"0.41 (0.13, 0.56)","0.31 (0.08, 0.47)","0.36 (0.02, 0.69)","0.28 (0.01, 0.48)","0.28 (0.01, 0.46)","0.30 (0.02, 0.51)","0.34 (0.03, 0.52)","0.28 (0.02, 0.48)","0.37 (0.15, 0.49)","0.36 (0.08, 0.53)","0.37 (0.04, 0.57)","0.31 (0.01, 0.49)","0.41 (0.11, 0.61)","0.38 (0.03, 0.71)","0.34 (0.00, 0.59)","0.31 (0.02, 0.50)","0.49 (0.19, 0.86)","0.43 (0.04, 0.86)","0.36 (0.03, 0.59)","0.35 (0.03, 0.51)","0.47 (0.24, 0.72)","0.44 (0.05, 0.89)","0.35 (0.03, 0.59)","0.36 (0.03, 0.58)","0.47 (0.22, 0.89)","0.40 (0.01, 0.91)","0.41 (0.06, 0.55)","0.32 (0.03, 0.52)","0.46 (0.14, 0.86)","0.43 (0.02, 0.88)","0.35 (0.00, 0.57)","0.31 (0.02, 0.45)","0.49 (0.21, 0.90)","0.44 (0.13, 0.91)","0.40 (0.04, 0.60)","0.30 (0.01, 0.53)","0.54 (0.37, 0.86)","0.50 (0.31, 0.86)","0.43 (0.05, 0.68)","0.33 (0.02, 0.58)","0.55 (0.36, 0.91)","0.49 (0.19, 0.92)","0.48 (0.05, 0.77)","0.33 (0.03, 0.55)","0.56 (0.45, 0.91)","0.53 (0.34, 0.92)","0.46 (0.05, 0.70)","0.38 (0.05, 0.55)"
Classwise/F1/4,"0.15 (0.03, 0.18)",--,--,--,"0.36 (0.10, 0.48)","0.39 (0.08, 0.59)","0.34 (0.00, 0.73)","0.30 (0.02, 0.48)","0.34 (0.14, 0.48)","0.33 (0.01, 0.62)","0.35 (0.02, 0.64)","0.26 (0.02, 0.45)","0.41 (0.15, 0.50)","0.35 (0.06, 0.57)","0.38 (0.03, 0.75)","0.27 (0.02, 0.44)","0.43 (0.09, 0.69)","0.50 (0.05, 0.87)","0.35 (0.01, 0.71)","0.28 (0.03, 0.41)","0.47 (0.21, 0.76)","0.50 (0.05, 0.96)","0.38 (0.04, 0.67)","0.33 (0.04, 0.46)","0.48 (0.25, 0.78)","0.53 (0.17, 0.92)","0.32 (0.03, 0.67)","0.28 (0.03, 0.46)","0.48 (0.20, 0.83)","0.45 (0.03, 0.94)","0.35 (0.04, 0.54)","0.32 (0.02, 0.47)","0.43 (0.17, 0.61)","0.45 (0.02, 0.86)","0.33 (0.03, 0.52)","0.30 (0.01, 0.49)","0.48 (0.18, 0.83)","0.52 (0.27, 0.94)","0.40 (0.05, 0.56)","0.32 (0.01, 0.63)","0.50 (0.27, 0.77)","0.54 (0.33, 0.95)","0.43 (0.06, 0.59)","0.35 (0.02, 0.65)","0.51 (0.23, 0.84)","0.60 (0.44, 0.95)","0.45 (0.04, 0.70)","0.37 (0.04, 0.61)","0.55 (0.42, 0.84)","0.56 (0.23, 0.95)","0.41 (0.03, 0.63)","0.35 (0.04, 0.59)"
Classwise/F1/5,"0.15 (0.02, 0.22)",--,--,--,"0.34 (0.09, 0.49)","0.49 (0.30, 0.55)","0.35 (0.00, 0.59)","0.32 (0.02, 0.52)","0.35 (0.14, 0.52)","0.40 (0.08, 0.54)","0.34 (0.03, 0.51)","0.26 (0.02, 0.49)","0.41 (0.19, 0.49)","0.48 (0.24, 0.56)","0.36 (0.03, 0.61)","0.30 (0.02, 0.45)","0.46 (0.19, 0.72)","0.48 (0.06, 0.74)","0.33 (0.01, 0.59)","0.32 (0.03, 0.48)","0.45 (0.18, 0.72)","0.53 (0.06, 0.88)","0.35 (0.02, 0.62)","0.37 (0.05, 0.51)","0.48 (0.26, 0.78)","0.54 (0.18, 0.80)","0.36 (0.04, 0.60)","0.37 (0.04, 0.58)","0.49 (0.19, 0.84)","0.46 (0.04, 0.88)","0.33 (0.04, 0.51)","0.34 (0.03, 0.53)","0.45 (0.10, 0.73)","0.45 (0.04, 0.75)","0.34 (0.02, 0.51)","0.31 (0.01, 0.49)","0.51 (0.21, 0.85)","0.53 (0.26, 0.88)","0.35 (0.03, 0.51)","0.32 (0.01, 0.60)","0.50 (0.30, 0.73)","0.53 (0.27, 0.87)","0.41 (0.04, 0.65)","0.34 (0.02, 0.57)","0.52 (0.28, 0.85)","0.56 (0.37, 0.88)","0.44 (0.05, 0.71)","0.33 (0.03, 0.58)","0.56 (0.46, 0.85)","0.59 (0.44, 0.88)","0.40 (0.05, 0.63)","0.36 (0.04, 0.55)"
Classwise/F1/6,"0.17 (0.08, 0.22)",--,--,--,"0.39 (0.12, 0.47)","0.48 (0.17, 0.65)","0.31 (0.01, 0.58)","0.30 (0.02, 0.47)","0.31 (0.02, 0.46)","0.29 (0.00, 0.53)","0.35 (0.03, 0.56)","0.26 (0.02, 0.45)","0.40 (0.17, 0.48)","0.44 (0.04, 0.77)","0.37 (0.04, 0.61)","0.31 (0.02, 0.45)","0.42 (0.16, 0.61)","0.46 (0.05, 0.86)","0.34 (0.01, 0.63)","0.29 (0.03, 0.41)","0.51 (0.25, 0.85)","0.48 (0.06, 0.86)","0.38 (0.03, 0.64)","0.34 (0.04, 0.47)","0.49 (0.29, 0.78)","0.52 (0.12, 0.94)","0.34 (0.02, 0.62)","0.34 (0.04, 0.48)","0.48 (0.22, 0.85)","0.46 (0.04, 0.93)","0.35 (0.02, 0.56)","0.32 (0.03, 0.48)","0.47 (0.13, 0.86)","0.44 (0.01, 0.95)","0.34 (0.02, 0.51)","0.31 (0.01, 0.53)","0.49 (0.20, 0.85)","0.45 (0.14, 0.94)","0.35 (0.03, 0.50)","0.33 (0.01, 0.65)","0.53 (0.29, 0.86)","0.47 (0.13, 0.86)","0.39 (0.04, 0.57)","0.33 (0.02, 0.59)","0.55 (0.31, 0.87)","0.50 (0.23, 0.94)","0.43 (0.05, 0.65)","0.35 (0.04, 0.60)","0.56 (0.41, 0.86)","0.56 (0.37, 0.94)","0.42 (0.05, 0.62)","0.34 (0.04, 0.59)"
