,TPR/1,TPR/2,TPR/3,TPR/4,TPR/5,TPR/6,TNR/1,TNR/2,TNR/3,TNR/4,TNR/5,TNR/6,PPV/1,PPV/2,PPV/3,PPV/4,PPV/5,PPV/6,NPV/1,NPV/2,NPV/3,NPV/4,NPV/5,NPV/6
Baseline,"0.18 (0.12, 0.24)","0.24 (0.18, 0.31)","0.22 (0.16, 0.28)","0.23 (0.17, 0.29)","0.12 (0.08, 0.17)","0.02 (0.00, 0.04)","0.77 (0.74, 0.80)","0.77 (0.74, 0.80)","0.79 (0.76, 0.82)","0.78 (0.75, 0.81)","0.90 (0.88, 0.92)","0.99 (0.99, 1.00)","0.04 (0.03, 0.06)","0.05 (0.04, 0.07)","0.04 (0.03, 0.06)","0.05 (0.04, 0.07)","0.02 (0.01, 0.03)","0.00 (0.00, 0.01)","0.81 (0.78, 0.84)","0.84 (0.81, 0.86)","0.85 (0.82, 0.87)","0.83 (0.80, 0.85)","0.83 (0.81, 0.86)","0.85 (0.82, 0.87)"
0-Shot | Notes,"0.85 (0.62, 1.00)","0.37 (0.32, 0.42)","0.36 (0.31, 0.40)","0.51 (0.44, 0.59)","0.65 (0.52, 0.77)","0.64 (0.00, 1.00)","0.79 (0.77, 0.82)","0.85 (0.82, 0.87)","0.88 (0.86, 0.91)","0.83 (0.81, 0.86)","0.93 (0.91, 0.94)","0.99 (0.99, 1.00)","0.01 (0.01, 0.02)","0.18 (0.15, 0.21)","0.18 (0.15, 0.21)","0.11 (0.09, 0.14)","0.04 (0.03, 0.05)","0.00 (0.00, 0.01)","1.00 (0.99, 1.00)","0.70 (0.67, 0.73)","0.68 (0.65, 0.71)","0.89 (0.87, 0.91)","0.98 (0.97, 0.99)","1.00 (1.00, 1.00)"
0-Shot | Summary,"0.89 (0.72, 1.00)","0.35 (0.31, 0.40)","0.35 (0.31, 0.40)","0.52 (0.45, 0.61)","0.55 (0.41, 0.68)","0.62 (0.00, 1.00)","0.79 (0.77, 0.82)","0.84 (0.81, 0.87)","0.89 (0.86, 0.91)","0.83 (0.80, 0.85)","0.92 (0.90, 0.94)","0.99 (0.99, 1.00)","0.02 (0.01, 0.03)","0.17 (0.14, 0.20)","0.19 (0.15, 0.22)","0.10 (0.08, 0.13)","0.03 (0.02, 0.04)","0.00 (0.00, 0.00)","1.00 (0.99, 1.00)","0.69 (0.66, 0.72)","0.66 (0.63, 0.69)","0.91 (0.89, 0.93)","0.98 (0.96, 0.98)","1.00 (1.00, 1.00)"
5-Shot | Summary,"0.81 (0.61, 0.96)","0.35 (0.30, 0.40)","0.34 (0.30, 0.38)","0.57 (0.49, 0.65)","0.65 (0.52, 0.77)","0.74 (0.00, 1.00)","0.79 (0.77, 0.82)","0.83 (0.80, 0.86)","0.88 (0.85, 0.91)","0.84 (0.81, 0.86)","0.93 (0.91, 0.95)","0.99 (0.99, 1.00)","0.02 (0.01, 0.03)","0.15 (0.12, 0.18)","0.18 (0.15, 0.22)","0.11 (0.09, 0.14)","0.04 (0.03, 0.06)","0.00 (0.00, 0.01)","0.99 (0.99, 1.00)","0.71 (0.68, 0.75)","0.64 (0.61, 0.68)","0.91 (0.89, 0.93)","0.98 (0.97, 0.99)","1.00 (1.00, 1.00)"
10-Shot | Summary,"0.89 (0.72, 1.00)","0.35 (0.30, 0.40)","0.35 (0.30, 0.40)","0.53 (0.45, 0.61)","0.62 (0.50, 0.74)","0.86 (0.50, 1.00)","0.79 (0.77, 0.82)","0.83 (0.80, 0.86)","0.88 (0.85, 0.90)","0.83 (0.81, 0.86)","0.93 (0.92, 0.95)","1.00 (0.99, 1.00)","0.02 (0.01, 0.03)","0.16 (0.13, 0.19)","0.18 (0.15, 0.21)","0.11 (0.08, 0.13)","0.05 (0.03, 0.06)","0.01 (0.00, 0.01)","1.00 (0.99, 1.00)","0.70 (0.67, 0.73)","0.67 (0.64, 0.71)","0.91 (0.88, 0.93)","0.97 (0.96, 0.98)","1.00 (1.00, 1.00)"
20-Shot | Summary,"0.78 (0.63, 0.92)","0.37 (0.33, 0.42)","0.35 (0.30, 0.40)","0.58 (0.50, 0.66)","0.63 (0.52, 0.74)","0.90 (0.67, 1.00)","0.80 (0.78, 0.82)","0.85 (0.82, 0.88)","0.87 (0.85, 0.90)","0.84 (0.81, 0.86)","0.94 (0.92, 0.95)","1.00 (1.00, 1.00)","0.03 (0.02, 0.05)","0.18 (0.15, 0.21)","0.17 (0.14, 0.20)","0.11 (0.09, 0.13)","0.05 (0.04, 0.07)","0.01 (0.00, 0.01)","0.99 (0.98, 1.00)","0.71 (0.67, 0.74)","0.68 (0.65, 0.72)","0.92 (0.90, 0.94)","0.97 (0.96, 0.98)","1.00 (1.00, 1.00)"
50-Shot | Summary,"0.67 (0.53, 0.80)","0.37 (0.32, 0.42)","0.33 (0.28, 0.37)","0.55 (0.47, 0.64)","0.64 (0.52, 0.74)","0.80 (0.50, 1.00)","0.80 (0.78, 0.83)","0.84 (0.81, 0.87)","0.86 (0.83, 0.88)","0.83 (0.81, 0.86)","0.94 (0.93, 0.96)","1.00 (1.00, 1.00)","0.04 (0.03, 0.05)","0.17 (0.14, 0.20)","0.15 (0.13, 0.19)","0.11 (0.08, 0.13)","0.06 (0.04, 0.07)","0.01 (0.00, 0.01)","0.98 (0.97, 0.99)","0.72 (0.69, 0.75)","0.68 (0.65, 0.71)","0.91 (0.90, 0.93)","0.97 (0.96, 0.98)","1.00 (0.99, 1.00)"
0-Shot CoT | Notes,"0.88 (0.78, 0.96)","0.40 (0.35, 0.45)","0.38 (0.33, 0.43)","0.52 (0.46, 0.59)","1.00 (1.00, 1.00)","0.91 (0.67, 1.00)","0.82 (0.79, 0.84)","0.87 (0.84, 0.89)","0.88 (0.86, 0.91)","0.85 (0.83, 0.88)","0.91 (0.89, 0.92)","1.00 (1.00, 1.00)","0.06 (0.04, 0.07)","0.19 (0.16, 0.23)","0.17 (0.14, 0.20)","0.14 (0.11, 0.17)","0.01 (0.01, 0.02)","0.01 (0.00, 0.02)","0.99 (0.99, 1.00)","0.71 (0.68, 0.74)","0.73 (0.69, 0.76)","0.87 (0.85, 0.89)","1.00 (1.00, 1.00)","1.00 (1.00, 1.00)"
0-Shot CoT | Summary,"0.78 (0.68, 0.88)","0.38 (0.33, 0.43)","0.39 (0.33, 0.44)","0.54 (0.47, 0.60)","0.54 (0.22, 0.86)","0.88 (0.60, 1.00)","0.82 (0.80, 0.84)","0.85 (0.82, 0.87)","0.87 (0.84, 0.90)","0.87 (0.85, 0.90)","0.90 (0.88, 0.92)","1.00 (0.99, 1.00)","0.06 (0.05, 0.08)","0.18 (0.15, 0.21)","0.16 (0.13, 0.19)","0.17 (0.14, 0.20)","0.01 (0.00, 0.01)","0.01 (0.00, 0.01)","0.98 (0.97, 0.99)","0.71 (0.68, 0.74)","0.75 (0.72, 0.78)","0.86 (0.83, 0.88)","0.99 (0.99, 1.00)","1.00 (1.00, 1.00)"
5-Shot CoT | Summary,"0.75 (0.67, 0.83)","0.40 (0.35, 0.45)","0.35 (0.30, 0.41)","0.53 (0.45, 0.60)","0.77 (0.50, 1.00)","0.91 (0.67, 1.00)","0.85 (0.83, 0.88)","0.85 (0.83, 0.88)","0.85 (0.83, 0.88)","0.85 (0.82, 0.87)","0.90 (0.89, 0.92)","1.00 (1.00, 1.00)","0.12 (0.09, 0.14)","0.18 (0.15, 0.21)","0.14 (0.12, 0.17)","0.13 (0.11, 0.16)","0.01 (0.00, 0.02)","0.01 (0.00, 0.02)","0.96 (0.95, 0.97)","0.73 (0.70, 0.76)","0.74 (0.71, 0.77)","0.88 (0.86, 0.90)","1.00 (0.99, 1.00)","1.00 (1.00, 1.00)"
10-Shot CoT | Summary,"0.72 (0.64, 0.79)","0.42 (0.37, 0.48)","0.37 (0.32, 0.42)","0.54 (0.47, 0.62)","0.71 (0.50, 0.89)","0.90 (0.67, 1.00)","0.87 (0.85, 0.89)","0.86 (0.84, 0.89)","0.86 (0.83, 0.89)","0.84 (0.82, 0.87)","0.91 (0.89, 0.93)","1.00 (1.00, 1.00)","0.14 (0.11, 0.17)","0.18 (0.15, 0.22)","0.15 (0.12, 0.18)","0.12 (0.10, 0.15)","0.02 (0.01, 0.03)","0.01 (0.00, 0.01)","0.95 (0.93, 0.96)","0.75 (0.72, 0.78)","0.75 (0.72, 0.78)","0.90 (0.88, 0.92)","0.99 (0.99, 1.00)","1.00 (1.00, 1.00)"
20-Shot CoT | Summary,"0.74 (0.66, 0.80)","0.45 (0.40, 0.50)","0.37 (0.32, 0.42)","0.54 (0.46, 0.61)","0.71 (0.54, 0.87)","0.91 (0.67, 1.00)","0.88 (0.86, 0.90)","0.87 (0.85, 0.90)","0.86 (0.83, 0.88)","0.84 (0.81, 0.86)","0.91 (0.90, 0.93)","1.00 (1.00, 1.00)","0.15 (0.12, 0.18)","0.19 (0.16, 0.22)","0.15 (0.12, 0.17)","0.12 (0.09, 0.14)","0.02 (0.01, 0.04)","0.01 (0.00, 0.02)","0.95 (0.93, 0.96)","0.77 (0.74, 0.80)","0.75 (0.72, 0.78)","0.90 (0.88, 0.92)","0.99 (0.98, 1.00)","1.00 (1.00, 1.00)"
50-Shot CoT | Summary,"0.68 (0.61, 0.75)","0.42 (0.37, 0.47)","0.39 (0.33, 0.44)","0.56 (0.49, 0.64)","0.74 (0.59, 0.87)","0.91 (0.67, 1.00)","0.87 (0.85, 0.89)","0.86 (0.83, 0.88)","0.86 (0.84, 0.89)","0.84 (0.82, 0.87)","0.92 (0.91, 0.94)","1.00 (1.00, 1.00)","0.14 (0.12, 0.17)","0.18 (0.15, 0.21)","0.15 (0.12, 0.18)","0.12 (0.10, 0.15)","0.03 (0.02, 0.05)","0.01 (0.00, 0.02)","0.93 (0.92, 0.95)","0.76 (0.73, 0.79)","0.77 (0.74, 0.80)","0.91 (0.88, 0.93)","0.99 (0.98, 0.99)","1.00 (1.00, 1.00)"
